employee_id,first_name,last_name,department_id,role_id,location_id,hire_date,employment_type
1,Emp1,Last1,2,1,3,2022-06-20,Full-Time
2,Emp2,Last2,3,4,3,2022-03-04,Full-Time
3,Emp3,Last3,5,2,1,2022-01-17,Full-Time
4,Emp4,Last4,1,4,1,2022-05-18,Intern
5,Emp5,Last5,5,1,3,2022-07-05,Contract
6,Emp6,Last6,2,6,2,2022-07-07,Full-Time
7,Emp7,Last7,4,2,2,2022-09-26,Full-Time
8,Emp8,Last8,1,4,2,2022-05-21,Intern
9,Emp9,Last9,2,3,1,2022-08-21,Intern
10,Emp10,Last10,1,4,1,2022-06-10,Intern
11,Emp11,Last11,2,6,1,2022-05-20,Contract
12,Emp12,Last12,3,4,2,2022-05-22,Intern
13,Emp13,Last13,4,1,2,2022-11-24,Full-Time
14,Emp14,Last14,5,4,3,2022-04-07,Full-Time
15,Emp15,Last15,3,5,2,2022-04-25,Intern
16,Emp16,Last16,4,4,3,2022-04-20,Contract
17,Emp17,Last17,5,5,3,2023-01-04,Full-Time
18,Emp18,Last18,3,1,1,2022-02-04,Contract
19,Emp19,Last19,1,6,3,2022-05-02,Intern
20,Emp20,Last20,3,3,1,2022-12-23,Intern
21,Emp21,Last21,1,2,1,2022-05-16,Intern
22,Emp22,Last22,4,5,2,2022-04-28,Full-Time
23,Emp23,Last23,4,1,1,2022-03-24,Contract
24,Emp24,Last24,2,6,2,2022-02-27,Contract
25,Emp25,Last25,5,3,1,2022-03-11,Full-Time
26,Emp26,Last26,3,2,2,2022-10-07,Intern
27,Emp27,Last27,3,6,2,2022-12-07,Full-Time
28,Emp28,Last28,1,6,2,2022-12-09,Full-Time
29,Emp29,Last29,4,5,3,2022-06-29,Full-Time
30,Emp30,Last30,4,6,3,2022-11-27,Full-Time
31,Emp31,Last31,5,6,1,2022-02-05,Contract
32,Emp32,Last32,2,3,3,2023-01-07,Full-Time
33,Emp33,Last33,4,2,2,2023-01-13,Full-Time
34,Emp34,Last34,1,5,2,2023-02-01,Contract
35,Emp35,Last35,5,2,3,2022-05-13,Intern
36,Emp36,Last36,4,3,2,2022-05-22,Intern
37,Emp37,Last37,4,2,1,2022-12-02,Full-Time
38,Emp38,Last38,1,4,2,2022-09-16,Full-Time
39,Emp39,Last39,5,4,2,2022-12-31,Intern
40,Emp40,Last40,1,3,2,2022-07-29,Full-Time
41,Emp41,Last41,4,6,2,2022-03-20,Full-Time
42,Emp42,Last42,1,1,3,2022-08-24,Intern
43,Emp43,Last43,1,2,1,2022-03-09,Contract
44,Emp44,Last44,4,5,1,2022-11-14,Intern
45,Emp45,Last45,1,5,1,2022-08-12,Intern
46,Emp46,Last46,4,3,1,2022-11-27,Contract
47,Emp47,Last47,5,2,3,2022-08-13,Full-Time
48,Emp48,Last48,1,2,1,2022-01-31,Full-Time
49,Emp49,Last49,1,2,2,2022-02-14,Intern
50,Emp50,Last50,4,6,2,2022-12-13,Full-Time
